#{"t_start": 1652188045.377205, "env_id": null}
r,l,t
-0.598569,4,27.22535
-0.442272,2,27.240972
-0.083258,3,27.256593
-0.220755,4,27.303457
-0.36796,3,27.319078
-0.939553,3,27.350321
0.597664,4,27.397185
-0.187608,2,27.397185
-1.131538,2,27.412807
2.423953,4,27.45967
-0.432188,2,27.475291
0.268735,4,27.506534
-0.498017,4,27.537776
0.500125,4,27.583113
-0.229986,3,27.609729
-0.599052,3,27.640972
-0.95968,2,27.656593
-0.568422,3,27.672215
-0.873103,2,27.703457
-0.965375,2,27.719079
0.115194,3,27.745716
0.837186,4,27.772392
1.220636,4,27.819256
0.406373,4,27.850499
-0.600524,2,27.86612
0.853296,4,27.897363
2.412238,4,27.928606
-0.675655,2,27.944227
-0.540736,2,27.959848
-0.120684,3,27.991091
-0.08605,3,28.006712
-0.318101,3,28.037954
-0.698907,3,28.069197
-0.767477,4,28.116062
-0.624962,3,28.131683
-0.07274,3,28.162926
-0.149467,2,28.183805
-1.17192,2,28.201757
1.579577,4,28.226391
-0.914921,3,28.257634
1.479134,4,28.304498
-0.111868,2,28.304498
0.293305,3,28.335741
0.448627,4,28.382605
-1.311309,2,28.398226
-0.402349,3,28.429469
-0.446336,3,28.460711
0.335546,3,28.476332
1.338406,4,28.523196
-0.876821,4,28.554438
1.821066,4,28.601303
-0.007465,3,28.616924
-0.195718,2,28.632545
-0.905932,2,28.648166
0.261861,4,28.695031
0.042008,4,28.726273
-0.888192,2,28.741894
-0.789602,2,28.757516
1.034463,4,28.79788
1.789791,4,28.827815
-0.439551,3,28.859057
-0.725506,2,28.874679
0.708885,3,28.890301
-1.012811,2,28.905922
2.588207,4,28.937165
-0.36815,3,28.968407
0.592732,4,29.01527
-0.701081,4,29.046513
0.22598,4,29.089864
-0.513992,3,29.106925
-0.33776,2,29.122547
-0.273743,3,29.15379
-0.92242,2,29.169411
0.222287,4,29.200653
-0.483545,2,29.216275
-0.944718,2,29.231896
0.46489,4,29.263139
-0.09213,4,29.310003
-0.789303,2,29.325624
-0.476837,3,29.356867
-0.471127,2,29.372488
-0.76175,2,29.38811
-0.911955,3,29.418883
-0.047341,3,29.427884
-0.103769,3,29.459127
0.093046,4,29.490369
-0.185164,3,29.521612
2.413726,4,29.552855
-0.445629,2,29.568476
0.099738,4,29.599719
0.048003,4,29.630961
-0.877557,2,29.646583
-0.832734,3,29.677825
0.435145,4,29.709068
-1.081027,2,29.741751
-0.424466,2,29.755713
-0.851965,2,29.756841
-0.508368,2,29.772463
-0.369172,3,29.803705
1.67865,4,29.834949
-0.286544,3,29.866191
0.053395,3,29.897433
-0.139996,3,29.913055
-1.395561,2,29.928676
1.972084,4,29.97554
0.600804,4,30.011906
0.219353,3,30.027885
2.184167,4,30.059127
-0.668751,2,30.074749
-0.156768,3,30.105992
-0.88082,2,30.121613
-0.610835,2,30.137235
0.059979,3,30.152856
-0.027361,4,30.184098
-1.242406,2,30.215341
-0.702041,2,30.230963
-0.878981,2,30.246584
-0.728851,3,30.277826
-0.904526,2,30.293447
-1.179557,2,30.309069
1.01067,4,30.340311
-0.571711,2,30.355933
-0.906286,2,30.371554
0.088599,4,30.402796
-0.74647,2,30.418419
0.847499,4,30.449661
-0.807074,2,30.465282
-0.562862,3,30.496525
-0.273155,3,30.512146
2.104315,4,30.543389
-0.509074,2,30.55901
-0.292721,3,30.590252
0.928418,4,30.632591
0.152139,4,30.660199
0.285226,4,30.707064
-0.704988,2,30.722686
-0.852338,3,30.738306
-0.161188,3,30.76955
1.031072,4,30.800792
-0.758518,2,30.816413
-1.053474,2,30.832035
-0.314039,4,30.863277
-0.630284,2,30.878898
0.840298,4,30.925763
-0.594526,3,30.957006
-0.867169,2,30.972627
-0.334006,2,30.988248
1.639415,4,31.01949
-0.279552,4,31.066354
0.192168,3,31.081975
-0.078004,4,31.128839
-1.111596,3,31.157475
-0.567756,2,31.158514
0.56276,3,31.189757
-0.345202,4,31.221
-0.415483,3,31.255823
0.466162,4,31.276449
-0.422692,3,31.307692
0.581373,4,31.338935
-0.953304,2,31.354556
-0.19601,3,31.385799
-0.021852,3,31.40142
