#{"t_start": 1640326699.8127866, "env_id": null}
r,l,t
-0.3173,22,27.673175
-3.331703,22,27.694228
0.83028,29,27.725471
1.712218,22,27.756714
-2.787806,25,27.787956
-0.221373,24,27.819198
0.454461,24,27.850441
0.927934,29,27.881684
0.125735,26,27.912927
1.361311,17,27.944169
-1.911446,24,27.975412
1.581486,21,28.756685
-2.570598,22,28.772306
-2.575932,22,28.803549
-0.7353,21,28.834791
-1.28354,27,28.866034
-0.661549,25,28.897276
-1.643443,28,28.944144
-2.406489,29,28.975384
-0.506116,22,28.991004
-0.991805,25,29.022247
-0.426113,23,29.055423
-1.297851,20,29.086665
0.041033,24,29.102286
-1.126296,24,29.133529
-0.035007,21,29.171802
0.007751,26,29.202964
0.452382,29,29.221939
-0.765633,26,29.267812
0.521756,26,29.294208
-0.974855,26,29.325451
-3.764594,27,29.356693
-0.048389,25,29.387936
0.894674,24,29.419178
0.476248,26,29.450421
-0.192615,22,29.466042
-0.65941,28,29.497285
1.090585,22,29.528527
0.534575,22,29.55977
-3.926949,35,29.591013
-0.290142,22,29.627863
0.045485,21,29.653212
-0.107349,21,29.679142
1.320908,28,29.709826
-0.701298,25,29.725448
1.291614,21,29.756691
-1.886509,19,29.787933
-0.078514,27,29.820068
-2.180627,23,29.837379
0.460724,29,29.868621
-0.011393,27,29.899864
0.026963,27,29.946728
-0.31563,26,29.97797
0.349797,23,29.993592
-1.294668,26,30.024835
-3.84313,29,30.056077
-1.803213,21,30.08732
0.055851,22,30.118562
-1.576898,23,30.134184
-2.97757,25,30.165426
-3.516114,27,30.196669
0.488457,23,30.227911
-1.980312,32,30.282818
0.151586,28,30.309814
-0.520456,25,30.341057
-0.059234,23,30.3723
0.374787,27,30.404478
0.825578,26,30.436392
0.187188,25,30.454027
-1.947037,23,30.48527
0.261234,23,30.516512
-0.101441,30,30.547754
-0.086008,23,30.578997
0.137693,31,30.618872
0.499601,20,30.642809
-1.72418,24,30.673133
-3.713163,32,30.709812
0.906065,31,30.741055
-2.018816,28,30.772298
0.171924,27,30.80354
0.575959,22,30.834782
0.11685,22,30.850404
0.015526,21,30.881646
0.059408,26,30.912889
-0.991709,26,30.944132
0.798049,25,30.975374
-1.797465,29,31.014726
-1.085329,26,31.038687
-2.312929,22,31.06993
-0.810519,21,31.085552
-0.460201,27,31.116794
-0.197965,22,31.148037
1.574883,22,31.179279
-1.742598,32,31.210522
0.002858,21,31.241765
-0.027238,21,31.268827
-2.375285,22,31.29418
-0.073795,26,31.325423
-2.184433,21,31.341045
-0.536117,21,31.372287
-0.970789,24,31.40353
-0.141906,32,31.434772
1.05481,26,31.466015
0.263331,26,31.497257
-0.709558,22,31.512879
-3.4395,23,31.544121
0.344921,21,31.575364
-0.756199,28,31.611885
0.272587,26,31.642802
-0.338291,20,31.666845
-0.511403,25,31.694175
0.214763,21,31.709797
-1.890176,22,31.741039
1.229735,19,31.75666
0.42023,28,31.803524
1.562293,28,31.834767
0.389296,23,31.850389
0.698765,24,31.881631
0.056727,28,31.912873
-0.928826,27,31.944116
0.215207,27,31.975359
-0.203512,22,32.006601
-2.22538,29,32.037844
-0.644167,25,32.069086
-2.646791,29,32.100329
-1.089037,27,32.131572
0.27143,21,32.162814
0.023055,22,32.194057
1.323453,21,32.209679
-0.733477,22,32.254536
0.78586,21,32.279543
1.15654,27,32.309789
1.585592,26,32.341032
-0.629031,24,32.356653
0.124434,28,32.403517
-1.933904,28,32.43476
0.164794,23,32.450382
-2.961806,23,32.481624
1.053526,28,32.512867
1.423936,26,32.544109
0.597865,22,32.575351
-0.885062,27,32.613861
0.039462,23,32.640789
0.020072,28,32.675125
1.228154,24,32.69417
-2.759935,28,32.725413
1.101919,23,32.756655
-0.765639,28,32.787898
1.663962,23,32.819141
-2.411351,27,32.855891
-0.160634,21,32.880824
-1.790825,26,32.90146
-0.040507,22,32.932703
-0.405295,24,32.963945
0.437495,23,32.979566
-0.527971,23,33.010809
-0.406834,24,33.042052
0.096083,20,33.057673
0.790657,23,33.088916
-2.142288,28,33.120158
1.550102,21,33.1514
0.867895,23,33.182643
0.508531,22,33.198264
0.085242,22,33.229507
0.218614,26,33.265831
0.740063,31,33.294159
0.290229,27,33.325402
-3.055091,24,33.356645
0.739653,29,33.387887
0.244764,21,33.41913
0.404996,23,33.450372
0.371301,24,33.471986
-0.108411,23,33.503229
-0.136704,28,33.534472
-0.706772,23,33.565714
-1.342936,25,33.581336
0.458092,28,34.372238
-0.470991,31,34.403481
-0.23733,37,34.450346
0.69319,28,34.481588
0.69474,32,34.528452
-0.217256,28,34.559695
0.801095,24,34.590937
1.131162,32,34.630791
0.196107,24,34.659714
-1.654287,26,34.690751
-2.081866,26,34.719709
-1.938255,24,34.735331
-0.096891,26,34.766573
0.974414,26,34.797816
-0.45813,25,34.829059
-0.9388,26,34.860301
-0.20984,29,34.954029
-0.859101,22,34.985272
-0.644951,26,35.016514
-0.046881,25,35.047757
1.098638,26,35.079
0.933093,31,35.110242
0.69018,21,35.125864
0.712889,26,35.157106
-0.870894,20,35.188349
-0.59928,24,35.219591
0.046609,23,35.250834
-3.018435,27,35.283744
0.802773,29,35.317895
-1.917041,27,35.348535
-4.05808,22,35.364156
-0.63032,21,35.395399
0.136447,25,35.426641
-0.359397,27,35.457884
-2.195652,27,35.489126
-0.805907,22,35.504748
0.368013,23,35.535991
0.97794,22,35.567233
-2.70605,21,35.598475
-0.371567,23,35.62579
-0.213103,27,35.657135
-3.101205,27,35.689049
0.682228,23,35.709752
-0.75905,21,35.740995
-2.460706,26,35.772238
-0.430489,29,35.80348
1.569165,26,35.834723
-1.30992,28,35.865965
-0.667586,23,35.897346
-0.396545,27,35.928386
-0.475612,28,35.963013
0.235809,27,35.994255
-1.480786,26,36.025498
0.264798,25,36.056741
1.170613,26,36.087983
-2.262209,26,36.119226
-0.032545,29,36.150469
-0.496116,30,36.181711
-0.177742,27,36.212954
0.975406,23,36.244196
1.032477,21,36.281741
-1.273895,26,36.309746
-3.356459,22,36.325367
-1.937497,25,36.35661
-1.293657,26,36.387852
0.466575,29,36.419095
0.248568,26,36.450338
-0.186594,25,36.48158
-0.55184,22,36.517972
-0.861277,26,36.537991
-1.555787,30,36.573729
-0.545218,25,36.614813
1.097031,22,36.639746
-0.170106,22,36.667081
-0.397745,24,36.69412
0.172739,30,36.725363
0.453512,22,36.756606
1.249702,30,36.787848
